1|1|15-May-23 11:30:00 PM|False|False|False|0
2|1|15-May-23 2:00:00 PM|False|False|False|21
3|1|10-Sep-21 10:00:00 AM|False|False|False|39
4|1|20-Mar-22 9:00:00 AM|False|False|False|25
5|2|10-Apr-22 12:00:00 PM|False|False|False|31
6|2|15-Oct-22 2:30:00 PM|False|False|False|343
7|2|09-Feb-22 3:00:00 PM|False|False|False|343
8|2|20-Jan-22 1:30:20 PM|False|False|False|0
9|3|26-Jun-23 5:59:00 PM|False|False|False|0
10|3|15-May-23 5:59:00 PM|False|False|False|0
11|8|27-May-23 12:00:00 AM|False|False|False|213
